titleId	title	region	language	types	attributes	isOriginalTitle
tt0000246	A Turn of the Century Illusionist	US	\N	\N	\N	0
tt0000246	An Up-to-Date Conjuror	US	\N	\N	\N	0
tt0000246	The Conjurer	US	\N	dvd	\N	0
tt0000247	The King's Death at Winstead	US	\N	alternative	\N	0
tt0000247	Beerbohm Tree, the Great English Actor	US	\N	alternative	\N	0
tt0000248	A Kiss in the Tunnel	US	\N	\N	\N	0
tt0000256	Panorama from the Tower of the Brooklyn Bridge	US	\N	imdbDisplay	\N	0
tt0000261	A Midnight Episode	US	\N	\N	\N	0
tt0000264	Summoning the Spirits	US	\N	\N	\N	0
tt0000265	Chimmie Hicks at the Races	US	\N	\N	copyright title	0
tt0000265	Above the Limit	US	\N	imdbDisplay	\N	0
tt0000266	Above the Speedway	US	\N	imdbDisplay	\N	0
tt0000272	The Professor and His Field Glass	US	\N	alternative	\N	0
tt0000278	Buffalo Bill's Show Parade	US	\N	imdbDisplay	\N	0
tt0000279	Buffalo Bill's Wild West Parade	US	\N	imdbDisplay	\N	0
tt0000280	Buffalo Bill's Wild West Parade	US	\N	imdbDisplay	\N	0
tt0000281	Buffalo Bill's Wild West Show	US	\N	imdbDisplay	\N	0
tt0000284	At the Photographer's	US	\N	dvd	\N	0
tt0000286	Turn-of-the-Century Surgery	US	\N	dvd	\N	0
tt0000287	The Clown and the Alchemist	US	\N	imdbDisplay	\N	0
tt0000300	The Enchanted Drawing	US	\N	imdbDisplay	\N	0
tt0000301	Faust and Marguerite	US	\N	imdbDisplay	\N	0
tt0000302	The Cabbage-Patch Fairy	US	\N	dvd	\N	0
tt0000306	Hamlet, Duel Scene with Laertes	US	\N	\N	reissue title	0
tt0000307	Happy Hooligan	US	\N	imdbDisplay	\N	0
tt0000308	The House That Jack Built	US	\N	imdbDisplay	\N	0
tt0000310	Chimmie Hicks and the Rum Omelet	US	\N	imdbDisplay	\N	0
tt0000321	The Mystic Swing	US	\N	imdbDisplay	\N	0
tt0000340	Uncle Josh in a Spooky Hotel	US	\N	imdbDisplay	\N	0
tt0000341	Uncle Josh's Nightmare	US	\N	imdbDisplay	\N	0
tt0000346	Another Job for the Undertaker	US	\N	imdbDisplay	\N	0
tt0000347	Buffalo Bill's Wild West Parade	US	\N	imdbDisplay	\N	0
tt0000350	The Countryman's First Sight of the Animated Pictures	US	\N	\N	\N	0
tt0000352	Day at the Circus	US	\N	imdbDisplay	\N	0
tt0000353	Execution of Czolgosz with Panorama of Auburn Prison	US	\N	imdbDisplay	\N	0
tt0000358	Story of a Crime	US	\N	\N	\N	0
tt0000358	History of a Crime	US	\N	\N	\N	0
tt0000363	Magical Sword	US	\N	\N	\N	0
tt0000364	Panorama of Esplanade by Night	US	\N	imdbDisplay	\N	0
tt0000368	Little Red Riding Hood	US	\N	\N	\N	0
tt0000369	A Road for Children's Bicycles in Barcelona	US	\N	imdbDisplay	\N	0
tt0000372	Scène d'ivresse	US	\N	imdbDisplay	\N	0
tt0000373	The Devil's Seven Castles	US	\N	\N	\N	0
tt0000380	Sleeping Beauty	US	\N	\N	\N	0
tt0000381	Buffalo Bill's Wild West Show	US	\N	imdbDisplay	\N	0
tt0000384	Miss Dundee and Her Performing Dogs	US	\N	imdbDisplay	\N	0
tt0000387	Reproduction, Coronation Ceremonies: King Edward VII	US	\N	\N	\N	0
tt0000387	The Coronation of King Edward VII	US	\N	\N	\N	0
tt0000388	Serpentine Dance by Lina Esbrard	US	\N	dvd	\N	0
tt0000399	Jack and the Beanstalk	US	\N	imdbDisplay	\N	0
tt0000406	The Prince of Darkness	US	\N	imdbDisplay	\N	0
tt0000410	Building Up and Demolishing the Star Theatre	US	\N	dvd	\N	0
