titleId,ordering,title,region,language,types,attributes,isOriginalTitle
Chimmie Hicks and the Rum Omelettt0000310,Chimmie Hicks and the Rum Omelet,US,\N,imdbDisplay,\N,0
The Mystic Swingtt0000321,The Mystic Swing,US,\N,imdbDisplay,\N,0
Uncle Josh in a Spooky Hoteltt0000340,Uncle Josh in a Spooky Hotel,US,\N,imdbDisplay,\N,0
Uncle Josh's Nightmarett0000341,Uncle Josh's Nightmare,US,\N,imdbDisplay,\N,0
Another Job for the Undertakertt0000346,Another Job for the Undertaker,US,\N,imdbDisplay,\N,0
Buffalo Bill's Wild West Paradett0000347,Buffalo Bill's Wild West Parade,US,\N,imdbDisplay,\N,0
The Countryman's First Sight of the Animated Picturestt0000350,The Countryman's First Sight of the Animated Pictures,US,\N,\N,\N,0
Day at the Circustt0000352,Day at the Circus,US,\N,imdbDisplay,\N,0
Execution of Czolgosz with Panorama of Auburn Prisontt0000353,Execution of Czolgosz with Panorama of Auburn Prison,US,\N,imdbDisplay,\N,0
Story of a Crimett0000358,Story of a Crime,US,\N,\N,\N,0
History of a Crimett0000358,History of a Crime,US,\N,\N,\N,0
Magical Swordtt0000363,Magical Sword,US,\N,\N,\N,0
Panorama of Esplanade by Nighttt0000364,Panorama of Esplanade by Night,US,\N,imdbDisplay,\N,0
Little Red Riding Hoodtt0000368,Little Red Riding Hood,US,\N,\N,\N,0
A Road for Children's Bicycles in Barcelonatt0000369,A Road for Children's Bicycles in Barcelona,US,\N,imdbDisplay,\N,0
Scène d'ivressett0000372,Scène d'ivresse,US,\N,imdbDisplay,\N,0
The Devil's Seven Castlestt0000373,The Devil's Seven Castles,US,\N,\N,\N,0
Sleeping Beautytt0000380,Sleeping Beauty,US,\N,\N,\N,0
Buffalo Bill's Wild West Showtt0000381,Buffalo Bill's Wild West Show,US,\N,imdbDisplay,\N,0
Miss Dundee and Her Performing Dogstt0000384,Miss Dundee and Her Performing Dogs,US,\N,imdbDisplay,\N,0
Reproduction Coronation Ceremonies: King Edward VIItt0000387,Reproduction Coronation Ceremonies: King Edward VII,US,\N,\N,\N,0
The Coronation of King Edward VIItt0000387,The Coronation of King Edward VII,US,\N,\N,\N,0
Serpentine Dance by Lina Esbrardtt0000388,Serpentine Dance by Lina Esbrard,US,\N,dvd,\N,0
Jack and the Beanstalktt0000399,Jack and the Beanstalk,US,\N,imdbDisplay,\N,0
The Prince of Darknesstt0000406,The Prince of Darkness,US,\N,imdbDisplay,\N,0
Building Up and Demolishing the Star Theatrett0000410,Building Up and Demolishing the Star Theatre,US,\N,dvd,\N,0
Star Theatrett0000410,Star Theatre,US,\N,\N,copyright title,0
Demolishing and Building Up the Star Theatrett0000410,Demolishing and Building Up the Star Theatre,US,\N,imdbDisplay,\N,0
The Troublesome Flytt0000412,The Troublesome Fly,US,\N,imdbDisplay,\N,0
Mephistopheles' School of Magictt0000413,Mephistopheles' School of Magic,US,\N,\N,\N,0
The Treasures of Satantt0000413,The Treasures of Satan,US,\N,\N,\N,0
The Devil's Money Bagstt0000413,The Devil's Money Bags,US,\N,\N,\N,0
Uncle Josh at the Moving Picture Showtt0000414,Uncle Josh at the Moving Picture Show,US,\N,imdbDisplay,\N,0
Alcohol and Its Victimstt0000416,Alcohol and Its Victims,US,\N,\N,\N,0
A Trip to Marstt0000417,A Trip to Mars,US,\N,\N,copyright title,0
A Trip to the Moontt0000417,A Trip to the Moon,US,\N,imdbDisplay,\N,0
Voyage to the Moontt0000417,Voyage to the Moon,US,\N,alternative,\N,0
The Enchanted Boxtt0000423,The Enchanted Box,US,\N,imdbDisplay,\N,0
Showing Indians and Band Mountedtt0000425,Showing Indians and Band Mounted,US,\N,alternative,\N,0
Buffalo Bill's Paradett0000425,Buffalo Bill's Parade,US,\N,imdbDisplay,\N,0
Buffalo Bill's Street Paradett0000426,Buffalo Bill's Street Parade,US,\N,imdbDisplay,\N,0
The Great Train Robberytt0000439,The Great Train Robbery,US,\N,imdbDisplay,\N,0
The Marvelous Wreathtt0000440,The Marvelous Wreath,US,\N,\N,literal English title,0
Capital Executiontt0000442,Capital Execution,US,\N,\N,\N,0
Hiawathatt0000443,Hiawatha,US,\N,imdbDisplay,\N,0
Kit Carsontt0000446,Kit Carson,US,\N,imdbDisplay,\N,0
Life of an American Firemantt0000447,Life of an American Fireman,US,\N,imdbDisplay,\N,0
The Life of an American Firemantt0000447,The Life of an American Fireman,US,\N,alternative,\N,0
The Messenger Boy's Mistakett0000452,The Messenger Boy's Mistake,US,\N,imdbDisplay,\N,0
The Music Lovertt0000455,The Music Lover,US,\N,\N,\N,0
New York City Fire Departmenttt0000456,New York City Fire Department,US,\N,alternative,\N,0
N.Y. Fire Department Returningtt0000456,N.Y. Fire Department Returning,US,\N,imdbDisplay,\N,0
Panorama of Riker's Island N.Y.tt0000459,Panorama of Riker's Island N.Y.,US,\N,imdbDisplay,\N,0
The Pioneerstt0000460,The Pioneers,US,\N,imdbDisplay,\N,0
Rip Van Winklett0000464,Rip Van Winkle,US,\N,imdbDisplay,\N,0
The Kingdom of the Fairiestt0000465,The Kingdom of the Fairies,US,\N,imdbDisplay,\N,0
Fairyland: A Kingdom of Fairiestt0000465,Fairyland: A Kingdom of Fairies,US,\N,\N,\N,0
The Fairylandtt0000465,The Fairyland,US,\N,\N,\N,0
Uncle Tom's Cabintt0000471,Uncle Tom's Cabin,US,\N,imdbDisplay,\N,0
Uncle Tom's Cabintt0000472,Uncle Tom's Cabin,US,\N,imdbDisplay,\N,0
Voyage of the 'Arctic'tt0000475,Voyage of the 'Arctic',US,\N,imdbDisplay,\N,0
Voyage of the 'Arctic' or How Captain Kettle Discovered the North Polett0000475,Voyage of the 'Arctic' or How Captain Kettle Discovered the North Pole,US,\N,\N,\N,0
Rum vs. Cherriestt0000479,Rum vs. Cherries,US,\N,imdbDisplay,\N,0
The Great Sword Combat on the Stairstt0000486,The Great Sword Combat on the Stairs,US,\N,alternative,\N,0
A Gentleman of Francett0000486,A Gentleman of France,US,\N,imdbDisplay,\N,0
Monsieur Beaucaire: The Adventures of a Gentleman of Francett0000486,Monsieur Beaucaire: The Adventures of a Gentleman of France,US,\N,\N,copyright title,0
The Great Train Robberytt0000487,The Great Train Robbery,US,\N,imdbDisplay,\N,0
The Land Beyond the Sunsettt0000488,The Land Beyond the Sunset,US,\N,imdbDisplay,\N,0
The Opening of the Williamsburg Bridgett0000491,The Opening of the Williamsburg Bridge,US,\N,alternative,\N,0
Opening the Williamsburg Bridgett0000491,Opening the Williamsburg Bridge,US,\N,imdbDisplay,\N,0
Personaltt0000492,Personal,US,\N,imdbDisplay,\N,0
Pierrot Murderertt0000493,Pierrot Murderer,US,\N,\N,\N,0
The Pearl Fishertt0000495,The Pearl Fisher,US,\N,\N,\N,0
Railroad Smashuptt0000496,Railroad Smashup,US,\N,imdbDisplay,\N,0
The Abductorstt0000500,The Abductors,US,\N,imdbDisplay,\N,0
Adventures of Sherlock Holmestt0000501,Adventures of Sherlock Holmes,US,\N,imdbDisplay,\N,0
The Wig Chasett0000505,The Wig Chase,US,\N,\N,\N,0
Departure of Peary and the Roosevelt from New Yorktt0000507,Departure of Peary and the Roosevelt from New York,US,\N,imdbDisplay,\N,0
Departure of Peary for the North Polett0000507,Departure of Peary for the North Pole,US,\N,alternative,\N,0
The Inexperienced Chauffeurtt0000509,The Inexperienced Chauffeur,US,\N,\N,\N,0
Funeral of Hiram Cronktt0000512,Funeral of Hiram Cronk,US,\N,imdbDisplay,\N,0
The Electric Hoteltt0000516,The Electric Hotel,US,\N,\N,\N,0
The Kleptomaniactt0000519,The Kleptomaniac,US,\N,imdbDisplay,\N,0
The Little Train Robberytt0000521,The Little Train Robbery,US,\N,imdbDisplay,\N,0
