titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000373,3,The Devil's Seven Castles,USc\N,\N,\N,0
tt0000380,4,Sleeping Beauty,USc\N,\N,\N,0
tt0000381,1,Buffalo Bill's Wild West Show,USc\N,imdbDisplay,\N,0
tt0000384,3,Miss Dundee and Her Performing Dogs,USc\N,imdbDisplay,\N,0
tt0000387,2,Reproduction Coronation Ceremonies: King Edward VII,USc\N,\N,\N,0
tt0000387,7,The Coronation of King Edward VII,USc\N,\N,\N,0
tt0000388,3,Serpentine Dance by Lina Esbrard,USc\N,dvd,\N,0
tt0000399,5,Jack and the Beanstalk,USc\N,imdbDisplay,\N,0
tt0000406,2,The Prince of Darkness,USc\N,imdbDisplay,\N,0
tt0000410,2,Building Up and Demolishing the Star Theatre,USc\N,dvd,\N,0
tt0000410,4,Star Theatre,USc\N,\N,copyright title,0
tt0000410,6,Demolishing and Building Up the Star Theatre,USc\N,imdbDisplay,\N,0
tt0000412,1,The Troublesome Fly,USc\N,imdbDisplay,\N,0
tt0000413,5,Mephistopheles' School of Magic,USc\N,\N,\N,0
tt0000413,6,The Treasures of Satan,USc\N,\N,\N,0
tt0000413,7,The Devil's Money Bags,USc\N,\N,\N,0
tt0000414,2,Uncle Josh at the Moving Picture Show,USc\N,imdbDisplay,\N,0
tt0000416,4,Alcohol and Its Victims,USc\N,\N,\N,0
tt0000417,25,A Trip to Mars,USc\N,\N,copyright title,0
tt0000417,41,A Trip to the Moon,USc\N,imdbDisplay,\N,0
tt0000417,44,Voyage to the Moon,USc\N,alternative,\N,0
tt0000423,2,The Enchanted Box,USc\N,imdbDisplay,\N,0
tt0000425,2,Showing Indians and Band Mounted,USc\N,alternative,\N,0
tt0000425,3,Buffalo Bill's Parade,USc\N,imdbDisplay,\N,0
tt0000426,1,Buffalo Bill's Street Parade,USc\N,imdbDisplay,\N,0
tt0000439,15,The Great Train Robbery,USc\N,imdbDisplay,\N,0
tt0000440,3,The Marvelous Wreath,USc\N,\N,literal English title,0
tt0000442,2,Capital Execution,USc\N,\N,\N,0
tt0000443,3,Hiawatha,USc\N,imdbDisplay,\N,0
tt0000446,2,Kit Carson,USc\N,imdbDisplay,\N,0
tt0000447,3,Life of an American Fireman,USc\N,imdbDisplay,\N,0
tt0000447,6,The Life of an American Fireman,USc\N,alternative,\N,0
tt0000452,2,The Messenger Boy's Mistake,USc\N,imdbDisplay,\N,0
tt0000455,7,The Music Lover,USc\N,\N,\N,0
tt0000456,2,New York City Fire Department,USc\N,alternative,\N,0
tt0000456,4,N.Y. Fire Department Returning,USc\N,imdbDisplay,\N,0
tt0000459,1,Panorama of Riker's Island N.Y.,USc\N,imdbDisplay,\N,0
tt0000460,1,The Pioneers,USc\N,imdbDisplay,\N,0
tt0000464,3,Rip Van Winkle,USc\N,imdbDisplay,\N,0
tt0000465,14,The Kingdom of the Fairies,USc\N,imdbDisplay,\N,0
tt0000465,3,Fairyland: A Kingdom of Fairies,USc\N,\N,\N,0
tt0000465,6,The Fairyland,USc\N,\N,\N,0
tt0000471,4,Uncle Tom's Cabin,USc\N,imdbDisplay,\N,0
tt0000472,2,Uncle Tom's Cabin,USc\N,imdbDisplay,\N,0
tt0000475,1,Voyage of the 'Arctic',USc\N,imdbDisplay,\N,0
